station,date,air_temperature_celcius,relative_humidity,windspeed_knots,max_wind_speed,precipitation 
948700,31/12/2016,19,56.8,7.9,11.1, 0.00I
948700,2/01/2017,15,50.7,9.2,13, 0.02G
948700,3/01/2017,16,53.6,8.1,15, 0.00G
948700,4/01/2017,24,61.6,7.7,14, 0.00I
948700,5/01/2017,24,62.3,7,13, 0.00I
948700,6/01/2017,26,60.8,6.9,12, 0.00I
948700,7/01/2017,32,54.1,12.8,19, 0.00I
948700,8/01/2017,20,57.7,9.9,18.1, 0.00I
948700,9/01/2017,19,56.3,5.8,8.9, 0.00I
948700,10/01/2017,20,57,8.7,13, 0.00I
948700,11/01/2017,18,53.3,7.9,14, 0.00I
948700,12/01/2017,22,56.3,8,13, 0.08G
948700,13/01/2017,19,54.1,11.2,18.1, 0.31G
948700,14/01/2017,17,50.4,11.9,16.9, 0.00G
948700,15/01/2017,16,50.8,5.8,12, 0.00I
948700,16/01/2017,24,55.4,5.9,9.9, 0.00I
948700,17/01/2017,24,53.4,9.9,15.9, 0.00I
948700,18/01/2017,16,46.7,10,16.9, 0.00I
948700,19/01/2017,19,57.2,8.9,15, 0.98G
948700,20/01/2017,16,50.9,12.9,21, 0.03G
948700,21/01/2017,17,52.5,6.7,12, 0.00G
948700,22/01/2017,23,59,6,12, 0.00I
948700,23/01/2017,25,58.3,12.2,22, 0.04G
948700,24/01/2017,16,48.2,9.9,18.1, 0.01G
948700,25/01/2017,17,50.8,9,15.9, 0.00G
948700,26/01/2017,18,53.5,8.8,13, 0.00I
948700,27/01/2017,19,56.1,6.9,12, 0.00A
948700,28/01/2017,18,57,7.4,15, 0.00I
948700,29/01/2017,22,58,6.9,12, 0.00I
948700,30/01/2017,20,55.8,10.5,15.9, 0.01G
948700,31/01/2017,16,48.4,8.1,15.9, 0.00G
948700,1/02/2017,16,48.9,5.4,8.9, 0.00I
948700,2/02/2017,18,53,6.6,14, 0.00I
948700,3/02/2017,18,54.4,5.7,9.9, 0.00I
948700,4/02/2017,26,53.7,8.7,15, 0.00I
948700,5/02/2017,21,64.5,10.6,15.9, 1.26G
948700,6/02/2017,16,48.1,9.3,12, 0.00G
948700,7/02/2017,20,57.4,10.9,22, 0.00I
948700,8/02/2017,31,61.9,14.1,23.9, 0.00I
948700,9/02/2017,22,62.7,7.6,18.1, 0.00I
948700,10/02/2017,21,60.4,6.8,12, 0.00I
948700,11/02/2017,19,53.8,9.2,15, 0.02G
948700,12/02/2017,16,48.3,14.4,19, 0.00G
948700,13/02/2017,16,53.6,12.1,16.9, 0.16G
948700,14/02/2017,14,48.5,7.3,14, 0.00G
948700,15/02/2017,22,53.4,10.9,19, 0.00I
948700,16/02/2017,18,53.6,7.2,15, 0.00I
948700,17/02/2017,18,49.4,9.3,13, 0.00I
948700,18/02/2017,15,44.6,9.7,12, 0.02G
948700,19/02/2017,13,48.5,10.7,14, 0.71G
948701,20/02/2017,15,49.1,9.6,16.9, 0.01G
948701,21/02/2017,16,51,6,13, 0.00G
948701,22/02/2017,23,49.6,10,19, 0.00I
948701,23/02/2017,18,55.5,8.9,15, 0.01G
948701,24/02/2017,16,48.3,9.4,14, 0.01G
948701,25/02/2017,17,52.6,10.3,15.9, 0.00G
948701,26/02/2017,21,54.9,7.4,16.9, 0.00I
948701,27/02/2017,24,55.6,5.9,13, 0.00I
948701,28/02/2017,23,54.1,5.7,14, 0.00I
948701,1/03/2017,21,57.3,5.4,9.9, 0.00I
948701,2/03/2017,20,62.6,10.1,15, 0.00I
948701,3/03/2017,21,59.5,12.4,21, 0.00I
948701,4/03/2017,22,62,7.9,11.1, 0.00I
